##Ensembl file: C:\Users\ahsturm1\Desktop\Data\NGS\Ensembl\Homo_sapiens.GRCh38.112.gff3
##RefSeq file: C:\Users\ahsturm1\Desktop\Data\NGS\RefSeq\Homo_sapiens.GRCh38.p14.gff3
#Ensembl ID	RefSeq ID
ENST00000619216	NR_106918
ENST00000270722	CCDS41236
ENST00000635819	NR_036215
ENST00000378378	NM_014448
ENST00000378378	CCDS46
ENST00000356575	NM_001409
ENST00000356575	CCDS41237
ENST00000697102	NM_001410718
ENST00000697102	CCDS90845
ENST00000385042	NR_030277
ENST00000378344	NM_182752
ENST00000378344	CCDS47
ENST00000270708	NM_017818
ENST00000270708	CCDS48
ENST00000378295	NM_005427
ENST00000378295	CCDS49
ENST00000604074	NM_001204186
ENST00000604074	CCDS59965
ENST00000603362	NM_001204187
ENST00000603362	CCDS55567
ENST00000604479	NM_001204188
ENST00000604479	CCDS55568
ENST00000354437	NM_001204184
ENST00000354437	CCDS55566
ENST00000713570	NM_005427
ENST00000713570	CCDS49
ENST00000713572	NM_005427
ENST00000713572	CCDS49
ENST00000378280	NM_001126242
ENST00000378280	CCDS44051
ENST00000378285	NM_001126241
ENST00000378285	CCDS44050
ENST00000378288	NM_001126240
ENST00000378288	CCDS44049
ENST00000378290	NM_001204192
ENST00000378290	CCDS55569
ENST00000416554	NR_185884
ENST00000294600	NM_152492
ENST00000294600	CCDS50
ENST00000642557	NM_001288583
ENST00000642557	CCDS57966
ENST00000444870	NM_001163724
ENST00000444870	CCDS57966
ENST00000378251	NM_020710
ENST00000378251	CCDS51
ENST00000378230	NM_014704
ENST00000378230	CCDS30571
ENST00000674623	NM_014704
ENST00000674623	CCDS30571
ENST00000674558	NM_014704
ENST00000674558	CCDS30571
ENST00000338895	NM_001282669
ENST00000338895	CCDS72693
ENST00000378209	NM_004402
ENST00000378209	CCDS52
ENST00000361605	NM_207356
ENST00000361605	CCDS53
ENST00000378191	NM_018836
ENST00000378191	CCDS54
ENST00000378190	NM_001042478
ENST00000378190	CCDS54
ENST00000582517	NR_039838
ENST00000378156	NM_015102
ENST00000378156	CCDS44052
ENST00000378097	NM_001199861
ENST00000378097	CCDS55
ENST00000666163	NM_172130
ENST00000666163	CCDS56
ENST00000671676	NM_001199861
ENST00000671676	CCDS55
ENST00000352527	NM_172130
ENST00000352527	CCDS56
ENST00000428161	NM_003636
ENST00000428161	CCDS55
ENST00000669250	NM_172130
ENST00000669250	CCDS56
ENST00000164247	NM_001199860
ENST00000164247	CCDS55
ENST00000378092	NM_001199860
ENST00000378092	CCDS55
ENST00000378083	NM_001199862
ENST00000378083	CCDS55570
ENST00000458166	NM_001199863
ENST00000458166	CCDS55571
ENST00000262450	NM_015557
ENST00000262450	CCDS57
ENST00000234875	NM_000983
ENST00000234875	CCDS58
ENST00000455744	NR_125997
ENST00000377939	NM_207396
ENST00000377939	CCDS59
ENST00000343813	NM_012405
ENST00000343813	CCDS61
ENST00000377898	NM_001024598
ENST00000377898	CCDS41238
ENST00000377893	NM_207370
ENST00000377893	CCDS64
ENST00000361521	NM_007274
ENST00000361521	CCDS30573
ENST00000377842	NM_181866
ENST00000377842	CCDS67
ENST00000377845	NM_181865
ENST00000377845	CCDS66
ENST00000377855	NM_181864
ENST00000377855	CCDS65
ENST00000377834	NM_019089
ENST00000377834	CCDS30574
ENST00000645284	NM_031475
ENST00000645284	CCDS70
ENST00000585139	NR_036218
ENST00000356876	NM_003790
ENST00000356876	CCDS71
ENST00000377782	NM_148965
ENST00000377782	CCDS72
ENST00000351959	NM_148966
ENST00000351959	CCDS73
ENST00000348333	NM_148967
ENST00000348333	CCDS74
ENST00000351748	NM_148970
ENST00000351748	CCDS75
ENST00000535355	NM_001265593
ENST00000535355	CCDS57968
ENST00000400913	NM_001042665
ENST00000400913	CCDS79
ENST00000377725	NM_001265594
ENST00000377725	CCDS57967
ENST00000340850	NM_001042664
ENST00000340850	CCDS79
ENST00000377728	NM_020631
ENST00000377728	CCDS79
ENST00000377732	NM_001042663
ENST00000377732	CCDS41241
ENST00000400915	NM_001042663
ENST00000400915	CCDS41241
ENST00000377740	NM_198681
ENST00000377740	CCDS79
ENST00000675694	NM_001042665
ENST00000675694	CCDS79
ENST00000537245	NM_001265592
ENST00000537245	CCDS41241
ENST00000377705	NM_024654
ENST00000377705	CCDS80
ENST00000333172	NM_138697
ENST00000333172	CCDS81
ENST00000351136	NM_177540
ENST00000351136	CCDS82
ENST00000377674	NM_005341
ENST00000377674	CCDS84
ENST00000377658	NM_014851
ENST00000377658	CCDS30575
ENST00000377648	NM_153812
ENST00000377648	CCDS85
ENST00000054650	NM_001195753
ENST00000054650	CCDS55572
ENST00000307896	NM_001195752
ENST00000307896	CCDS55573
ENST00000377627	NM_138350
ENST00000377627	CCDS86
ENST00000377577	NM_018198
ENST00000377577	CCDS87
ENST00000303635	NM_015215
ENST00000303635	CCDS30576
ENST00000473578	NM_001195563
ENST00000473578	CCDS55574
ENST00000557126	NM_001242701
ENST00000557126	CCDS55575
ENST00000700415	NM_001349612
ENST00000700415	CCDS90851
ENST00000467404	NM_001349627
ENST00000467404	CCDS85922
ENST00000476864	NM_001410737
ENST00000476864	CCDS90849
ENST00000700417	NM_001410738
ENST00000700417	CCDS90850
ENST00000456701	NR_182292
ENST00000618051	NR_146199
ENST00000700421	NM_001349617
ENST00000700421	CCDS90852
ENST00000700423	NM_001349619
ENST00000700423	CCDS90853
ENST00000700424	NM_001349622
ENST00000700424	CCDS90854
ENST00000054666	NM_004781
ENST00000054666	CCDS88
ENST00000377532	NM_001377275
ENST00000377532	CCDS72695
ENST00000613533	NM_001289862
ENST00000613533	CCDS72695
ENST00000614998	NM_001289861
ENST00000614998	CCDS76097
ENST00000361923	NM_016831
ENST00000361923	CCDS89
ENST00000361696	NM_006786
ENST00000361696	CCDS91
ENST00000054668	NM_021995
ENST00000054668	CCDS90
ENST00000377507	NM_001561
ENST00000377507	CCDS92
ENST00000493678	NM_001123377
ENST00000493678	CCDS93
ENST00000338639	NM_007262
ENST00000338639	CCDS93
ENST00000377491	NM_001123377
ENST00000377491	CCDS93
ENST00000377488	NM_001123377
ENST00000377488	CCDS93
ENST00000377482	NM_018948
ENST00000377482	CCDS94
ENST00000452982	NR_125998
ENST00000471889	NM_001080397
ENST00000471889	CCDS30577
ENST00000289877	NM_001080397
ENST00000289877	CCDS30577
ENST00000337907	NM_012102
ENST00000337907	CCDS95
ENST00000400908	NM_001042681
ENST00000400908	CCDS95
ENST00000465125	NM_001042682
ENST00000465125	CCDS41243
ENST00000476556	NM_001042682
ENST00000476556	CCDS41243
ENST00000234590	NM_001428
ENST00000234590	CCDS97
ENST00000647408	NM_001353346
ENST00000647408	CCDS85924
ENST00000618792	NR_106786
ENST00000377443	NM_001215
ENST00000377443	CCDS30578
ENST00000377436	NM_001270500
ENST00000377436	CCDS57970
ENST00000377442	NM_001270501
ENST00000377442	CCDS57971
ENST00000400906	NM_207420
ENST00000400906	CCDS98
ENST00000377424	NM_003039
ENST00000377424	CCDS99
ENST00000377414	NM_001135585
ENST00000377414	CCDS44054
ENST00000377411	NM_024980
ENST00000377411	CCDS100
ENST00000385130	NR_029610
ENST00000377403	NM_004285
ENST00000377403	CCDS101
ENST00000602477	NM_001282587
ENST00000602477	CCDS72697
ENST00000328089	NM_025106
ENST00000328089	CCDS102
ENST00000357898	NM_025106
ENST00000357898	CCDS102
ENST00000377399	NM_025106
ENST00000377399	CCDS102
ENST00000302692	NM_032315
ENST00000302692	CCDS103
ENST00000340381	NM_001130924
ENST00000340381	CCDS44055
ENST00000340305	NM_001010866
ENST00000340305	CCDS30579
ENST00000377346	NM_005026
ENST00000377346	CCDS104
ENST00000698710	NM_001350234
ENST00000698710	CCDS90856
ENST00000698712	NM_005026
ENST00000698712	CCDS104
ENST00000377320	NR_027045
ENST00000698713	NM_005026
ENST00000698713	CCDS104
ENST00000698715	NM_001350234
ENST00000698715	CCDS90856
ENST00000377298	NM_001009566
ENST00000377298	CCDS30580
ENST00000361311	NM_014944
ENST00000361311	CCDS105
ENST00000377263	NM_020248
ENST00000377263	CCDS106
ENST00000400904	NM_001012329
ENST00000400904	CCDS106
ENST00000377258	NM_001012329
ENST00000377258	CCDS106
ENST00000377256	NM_001012329
ENST00000377256	CCDS106
ENST00000377223	NM_032368
ENST00000377223	CCDS107
ENST00000400903	NM_001316973
ENST00000400903	CCDS107
ENST00000377213	NM_001316973
ENST00000377213	CCDS107
ENST00000403197	NM_001297779
ENST00000403197	CCDS72698
ENST00000377205	NM_022787
ENST00000377205	CCDS108
ENST00000636827	NR_158969
ENST00000578045	NR_049882
ENST00000294435	NM_052960
ENST00000294435	CCDS109
ENST00000253251	NM_006048
ENST00000253251	CCDS110
ENST00000672724	NM_001410744
ENST00000672724	CCDS90857
ENST00000343090	NM_001105562
ENST00000343090	CCDS41245
ENST00000377093	NM_183416
ENST00000377093	CCDS112
ENST00000676179	NM_001365951
ENST00000676179	CCDS90858
ENST00000263934	NM_015074
ENST00000263934	CCDS111
ENST00000377086	NM_001365952
ENST00000377086	CCDS90858
ENST00000377083	NM_001365953
ENST00000377083	CCDS112
ENST00000270776	NM_002631
ENST00000270776	CCDS113
ENST00000400900	NM_198544
ENST00000470413	NM_199006
ENST00000309048	NM_199294
ENST00000602787	NM_199294
ENST00000602296	NM_001243768
ENST00000377049	NM_001302
ENST00000377049	CCDS117
ENST00000377038	NM_004401
ENST00000377038	CCDS118
ENST00000377036	NM_213566
ENST00000377036	CCDS119
ENST00000356607	NM_004565
ENST00000356607	CCDS30582
ENST00000377022	NM_001079843
ENST00000377022	CCDS41246
ENST00000344008	NM_017766
ENST00000344008	CCDS120
ENST00000377004	NM_001170754
ENST00000377004	CCDS53267
ENST00000639083	NM_007375
ENST00000639083	CCDS122
ENST00000240185	NM_007375
ENST00000240185	CCDS122
ENST00000400897	NM_006610
ENST00000400897	CCDS123
ENST00000400898	NM_139208
ENST00000400898	CCDS124
ENST00000376957	NM_003132
ENST00000376957	CCDS125
ENST00000304457	NM_002685
ENST00000304457	CCDS126
ENST00000376936	NM_001001998
ENST00000376936	CCDS30584
ENST00000361445	NM_004958
ENST00000361445	CCDS127
ENST00000376819	NM_021146
ENST00000376819	CCDS128
ENST00000376810	NM_013319
ENST00000376810	CCDS129
ENST00000376804	NM_001330350
ENST00000376804	CCDS81260
ENST00000294484	NM_020780
ENST00000294484	CCDS41247
ENST00000354287	NM_012168
ENST00000354287	CCDS130
ENST00000251546	NM_183412
ENST00000251546	CCDS131
ENST00000376770	NM_001014765
ENST00000376770	CCDS132
ENST00000251547	NM_033182
ENST00000251547	CCDS132
ENST00000376768	NM_001330355
ENST00000376768	CCDS81261
ENST00000376760	NM_001304790
ENST00000376760	CCDS131
ENST00000376762	NM_183413
ENST00000376762	CCDS131
ENST00000376753	NM_018438
ENST00000376753	CCDS133
ENST00000376692	NM_006341
ENST00000376692	CCDS134
ENST00000235310	NM_001127325
ENST00000235310	CCDS134
ENST00000456915	NM_006341
ENST00000456915	CCDS134
ENST00000376667	NM_001127325
ENST00000376667	CCDS134
ENST00000294485	NM_198545
ENST00000294485	CCDS135
ENST00000376637	NM_001040195
ENST00000376637	CCDS30586
ENST00000400895	NM_001040197
ENST00000400895	CCDS41248
ENST00000314340	NM_020350
ENST00000314340	CCDS136
ENST00000376629	NM_001040194
ENST00000376629	CCDS30585
ENST00000452018	NM_001040196
ENST00000452018	CCDS44056
ENST00000688073	NM_001010881
ENST00000688073	CCDS90862
ENST00000376620	NR_126000
ENST00000376592	NM_005957
ENST00000376592	CCDS137
ENST00000376590	NM_005957
ENST00000376590	CCDS137
ENST00000376583	NM_001330358
ENST00000376583	CCDS81262
ENST00000376585	NM_001330358
ENST00000376585	CCDS81262
ENST00000423400	NM_001410750
ENST00000423400	CCDS90864
ENST00000312413	NM_001256959
ENST00000312413	CCDS57972
ENST00000346436	NM_001286
ENST00000346436	CCDS138
ENST00000376480	NM_006172
ENST00000376480	CCDS139
ENST00000376468	NM_002521
ENST00000376468	CCDS140
ENST00000376572	NM_138346
ENST00000376572	CCDS141
ENST00000196061	NM_000302
ENST00000196061	CCDS142
ENST00000444836	NM_001127660
ENST00000444836	NM_014874
ENST00000444836	CCDS30587
ENST00000674817	NM_001127660
ENST00000674817	NM_014874
ENST00000674817	CCDS30587
ENST00000675053	NM_014874
ENST00000675053	CCDS30587
ENST00000674548	NM_001127660
ENST00000674548	NM_014874
ENST00000674548	CCDS30587
ENST00000674910	NM_001127660
ENST00000674910	NM_014874
ENST00000674910	CCDS30587
ENST00000675231	NM_014874
ENST00000675231	CCDS30587
ENST00000675113	NM_014874
ENST00000675113	CCDS30587
ENST00000235329	NM_014874
ENST00000235329	CCDS30587
ENST00000675919	NM_014874
ENST00000675919	CCDS30587
ENST00000676293	NM_014874
ENST00000676293	CCDS30587
ENST00000235332	NM_021933
ENST00000235332	CCDS143
ENST00000618194	NR_106787
ENST00000263932	NM_001243
ENST00000263932	CCDS144
ENST00000417814	NM_001281430
ENST00000417814	CCDS59989
ENST00000622420	NR_107000
ENST00000376259	NM_001066
ENST00000376259	CCDS145
ENST00000584158	NR_039775
ENST00000620676	NM_015378
ENST00000620676	CCDS30588
ENST00000613099	NM_018156
ENST00000613099	CCDS30589
ENST00000459326	NR_003025
ENST00000714541	NM_001319225
ENST00000714542	NM_001324370
ENST00000714542	NM_001319225
ENST00000616661	NM_004753
ENST00000616661	CCDS146
ENST00000622213	NR_106788
ENST00000376221	NM_001013630
ENST00000376221	CCDS30590
ENST00000359318	NM_001103170
ENST00000359318	CCDS41253
ENST00000614859	NM_152290
ENST00000614859	CCDS147
ENST00000376210	NM_001330361
ENST00000376210	CCDS81264
ENST00000357726	NM_001080830
ENST00000357726	CCDS41254
ENST00000332296	NM_023013
ENST00000332296	CCDS148
ENST00000619922	NM_001146344
ENST00000619922	CCDS53268
ENST00000317869	NM_001013631
ENST00000317869	CCDS30591
ENST00000240189	NM_023014
ENST00000240189	CCDS149
ENST00000235349	NM_001009611
ENST00000235349	CCDS30592
ENST00000235347	NM_001039361
ENST00000235347	CCDS41255
ENST00000697200	NM_001012277
ENST00000697200	CCDS30593
ENST00000330881	NM_001012277
ENST00000330881	CCDS30593
ENST00000415464	NM_001010889
ENST00000415464	CCDS30594
ENST00000376189	NM_001010889
ENST00000376189	CCDS30594
ENST00000436041	NM_001300891
ENST00000436041	CCDS72704
ENST00000617807	NM_001382358
ENST00000617807	CCDS72705
ENST00000681473	NM_001382358
ENST00000681473	CCDS72705
ENST00000614839	NM_001310134
ENST00000614839	CCDS81265
ENST00000619661	NM_001310134
ENST00000619661	CCDS81265
ENST00000621994	NM_001136561
ENST00000621994	CCDS76105
ENST00000624207	NM_001306072
ENST00000624207	CCDS76106
ENST00000323770	NM_001302551
ENST00000323770	CCDS76107
ENST00000415919	NM_001010890
ENST00000415919	CCDS76108
ENST00000625019	NM_001291380
ENST00000625019	CCDS85927
ENST00000624297	NM_001099850
ENST00000624297	CCDS41258
ENST00000622421	NM_001013407
ENST00000622421	CCDS72708
ENST00000621519	NM_001012276
ENST00000621519	CCDS72709
ENST00000357367	NM_001012276
ENST00000357367	CCDS72709
ENST00000437300	NM_001291381
ENST00000437300	CCDS85928
ENST00000376152	NM_001098376
ENST00000376152	CCDS44059
ENST00000334600	NM_001024661
ENST00000334600	CCDS76109
ENST00000376101	NM_001099790
ENST00000376101	CCDS41263
ENST00000376098	NM_001099851
ENST00000376098	CCDS41264
ENST00000602960	NM_001099852
ENST00000602960	CCDS41265
ENST00000376085	NM_001010847
ENST00000376085	CCDS53269
ENST00000376057	NM_198389
ENST00000376057	CCDS41266
ENST00000621990	NM_006474
ENST00000621990	CCDS30602
ENST00000376061	NM_001006624
ENST00000376061	CCDS44060
ENST00000513143	NM_001006624
ENST00000513143	CCDS44060
ENST00000487038	NM_001006624
ENST00000487038	CCDS44060
ENST00000475043	NM_001006625
ENST00000475043	CCDS53270
ENST00000311066	NM_001393986
ENST00000311066	CCDS150
ENST00000376048	NM_001135610
ENST00000376048	CCDS44061
ENST00000235372	NM_012231
ENST00000235372	CCDS150
ENST00000413440	NM_001007257
ENST00000413440	CCDS30603
ENST00000343137	NM_001393988
ENST00000343137	CCDS30603
ENST00000376030	NM_201628
ENST00000376030	CCDS152
ENST00000503743	NM_015209
ENST00000503743	CCDS41267
ENST00000361144	NM_001018000
ENST00000361144	CCDS30604
ENST00000400798	NM_001018001
ENST00000400798	CCDS41268
ENST00000400797	NM_001017999
ENST00000400797	CCDS41268
ENST00000428417	NM_001136217
ENST00000428417	CCDS154
ENST00000376014	NM_001136216
ENST00000376014	CCDS154
ENST00000400796	NM_018022
ENST00000400796	CCDS154
ENST00000376008	NM_001136218
ENST00000376008	CCDS154
ENST00000434578	NM_001319665
ENST00000434578	CCDS81266
ENST00000683790	NM_001391957
ENST00000683790	CCDS90866
ENST00000688493	NM_001391957
ENST00000688493	CCDS90866
ENST00000358897	NM_052929
ENST00000375998	NM_052929
ENST00000375980	NM_024329
ENST00000375980	CCDS155
ENST00000375949	NM_007272
ENST00000375949	CCDS156
ENST00000359621	NM_033440
ENST00000359621	CCDS157
ENST00000375910	NM_015849
ENST00000375910	CCDS30605
ENST00000333868	NM_001229
ENST00000333868	CCDS158
ENST00000348549	NM_001278054
ENST00000348549	CCDS59995
ENST00000375890	NM_032996
ENST00000375890	CCDS159
ENST00000616884	NM_001287811
ENST00000616884	CCDS72710
ENST00000375847	NM_015291
ENST00000375847	CCDS30606
ENST00000375826	NM_024758
ENST00000375826	CCDS160
ENST00000480945	NM_032341
ENST00000480945	CCDS30607
ENST00000345034	NM_006511
ENST00000345034	CCDS161
ENST00000375799	NM_015164
ENST00000375799	CCDS44063
ENST00000375793	NM_001410755
ENST00000375793	CCDS90868
ENST00000294454	NM_207348
ENST00000294454	CCDS162
ENST00000375782	NM_001013641
ENST00000375782	CCDS30608
ENST00000375771	NM_001350151
ENST00000375771	CCDS163
ENST00000375766	NM_017556
ENST00000375766	CCDS163
ENST00000441801	NM_001024215
ENST00000441801	CCDS44064
ENST00000332305	NM_001024216
ENST00000332305	CCDS30609
ENST00000483273	NM_001089591
ENST00000483273	CCDS76112
ENST00000696689	NM_001089591
ENST00000696689	CCDS76112
ENST00000375759	NM_015001
ENST00000375759	CCDS164
ENST00000375743	NM_003443
ENST00000375743	CCDS165
ENST00000537142	NM_001242884
ENST00000537142	CCDS55576
ENST00000375733	NM_001287603
ENST00000375733	CCDS72712
ENST00000329454	NM_178840
ENST00000329454	CCDS166
ENST00000411503	NM_001349687
ENST00000411503	CCDS85933
ENST00000375718	NM_001349682
ENST00000375718	CCDS85934
ENST00000311890	NM_014424
ENST00000311890	CCDS30611
ENST00000487046	NM_001349689
